parentMANR;childMANR;childAnrede;childTitel;childVorname;childNachname;childTitelLang;BAEH_Referenzwert;BAEH_Messwert;RgbColorCode;childHeader
45856;36975;Herr;FB;Vorname_1;Nachname_1;Finanzberater;28940;26873;150,54,52;Organisation von Finanzberater Nachname_1
41437;17795;Herr;TL;Vorname_2;Nachname_2;Teamleiter;125641;67356;150,54,52;Organisation von Teamleiter Nachname_2
19196;14515;Herr;FB;Vorname_3;Nachname_3;Finanzberater;18656;13345;150,54,52;Organisation von Finanzberater Nachname_3
84681;15231;Herr;FT;Vorname_4;Nachname_4;Finanzberater Trainee;5944;10923;0,90,50;Organisation von Finanzberater Trainee Nachname_4
80207;92277;Herr;FB;Vorname_5;Nachname_5;Finanzberater;35647;23016;150,54,52;Organisation von Finanzberater Nachname_5
20848;21809;Herr;TL;Vorname_6;Nachname_6;Teamleiter;54052;49348;150,54,52;Organisation von Teamleiter Nachname_6
70173;30318;Herr;TL;Vorname_7;Nachname_7;Teamleiter;97815;68429;150,54,52;Organisation von Teamleiter Nachname_7
80210;22981;Herr;FIND;Vorname_8;Nachname_8;Finanzierungsdirektor;180692;124061;150,54,52;Organisation von Finanzierungsdirektor Nachname_8
20814;22004;Herr;FT;Vorname_9;Nachname_9;Finanzberater Trainee;48;72;0,90,50;Organisation von Finanzberater Trainee Nachname_9
45937;38322;Herr;TL;Vorname_10;Nachname_10;Teamleiter;101046;73819;150,54,52;Organisation von Teamleiter Nachname_10
73001;73071;Herr;FB;Vorname_11;Nachname_11;Finanzberater;9015;6326;150,54,52;Organisation von Finanzberater Nachname_11
68224;51977;Herr;FB;Vorname_12;Nachname_12;Finanzberater;17235;4478;150,54,52;Organisation von Finanzberater Nachname_12
35151;31813;Herr;TL;Vorname_13;Nachname_13;Teamleiter;39666;31933;150,54,52;Organisation von Teamleiter Nachname_13
45044;49489;Frau;TL;Vorname_14;Nachname_14;Teamleiter;34335;44979;0,90,50;Organisation von Teamleiter Nachname_14
62232;67415;Herr;TL;Vorname_15;Nachname_15;Teamleiter;136944;139292;0,90,50;Organisation von Teamleiter Nachname_15
11045;78361;Herr;TL;Vorname_16;Nachname_16;Teamleiter;219305;272456;0,90,50;Organisation von Teamleiter Nachname_16
88455;79499;Herr;FB;Vorname_17;Nachname_17;Finanzberater;1760;123;150,54,52;Organisation von Finanzberater Nachname_17
51456;52767;Herr;FTVP;Vorname_18;Nachname_18;Finanzberater Trainee Vertriebsprofi;17;2463;0,90,50;Organisation von Finanzberater Trainee Vertriebsprofi Nachname_18
43023;46655;Herr;TL;Vorname_19;Nachname_19;Teamleiter;130858;121516;150,54,52;Organisation von Teamleiter Nachname_19
73001;60443;Herr;FB;Vorname_20;Nachname_20;Finanzberater;37705;30738;150,54,52;Organisation von Finanzberater Nachname_20
14439;16538;Frau;BA;Vorname_21;Nachname_21;Beraterassistent;3384;2099;150,54,52;Organisation von Beraterassistent Nachname_21
80207;96430;Herr;TL;Vorname_22;Nachname_22;Teamleiter;146824;91956;150,54,52;Organisation von Teamleiter Nachname_22
86603;86666;Herr;TL;Vorname_23;Nachname_23;Teamleiter;67591;39973;150,54,52;Organisation von Teamleiter Nachname_23
75558;75997;Herr;FB;Vorname_24;Nachname_24;Finanzberater;37830;23377;150,54,52;Organisation von Finanzberater Nachname_24
51529;52598;Herr;FB;Vorname_25;Nachname_25;Finanzberater;6198;6814;0,90,50;Organisation von Finanzberater Nachname_25
81674;88378;Herr;TM;Vorname_26;Nachname_26;Teammanager;665739;529397;150,54,52;Organisation von Teammanager Nachname_26
15235;22134;Herr;FB;Vorname_27;Nachname_27;Finanzberater;30308;14060;150,54,52;Organisation von Finanzberater Nachname_27
81674;79616;Herr;FT;Vorname_28;Nachname_28;Finanzberater Trainee;7730;5856;150,54,52;Organisation von Finanzberater Trainee Nachname_28
45856;36953;Herr;FB;Vorname_29;Nachname_29;Finanzberater;54064;59492;0,90,50;Organisation von Finanzberater Nachname_29
19715;14965;Herr;FB;Vorname_30;Nachname_30;Finanzberater;26683;16645;150,54,52;Organisation von Finanzberater Nachname_30
96247;96251;Herr;FB;Vorname_31;Nachname_31;Finanzberater;51702;50179;150,54,52;Organisation von Finanzberater Nachname_31
99514;99029;Herr;FB;Vorname_32;Nachname_32;Finanzberater;9109;19508;0,90,50;Organisation von Finanzberater Nachname_32
79252;52513;Herr;FB;Vorname_33;Nachname_33;Finanzberater;30708;16973;150,54,52;Organisation von Finanzberater Nachname_33
73041;76645;Herr;FB;Vorname_34;Nachname_34;Finanzberater;38236;64592;0,90,50;Organisation von Finanzberater Nachname_34
77010;75181;Frau;FB;Vorname_35;Nachname_35;Finanzberater;142420;122286;150,54,52;Organisation von Finanzberater Nachname_35
45937;36828;Herr;TL;Vorname_36;Nachname_36;Teamleiter;115223;56573;150,54,52;Organisation von Teamleiter Nachname_36
12973;11953;Herr;FB;Vorname_37;Nachname_37;Finanzberater;26612;23615;150,54,52;Organisation von Finanzberater Nachname_37
74452;69138;Herr;TL;Vorname_38;Nachname_38;Teamleiter;149514;131426;150,54,52;Organisation von Teamleiter Nachname_38
79252;52528;Herr;BAA;Vorname_39;Nachname_39;Beraterassistent in Ausbildung;15847;23389;0,90,50;Organisation von Beraterassistent in Ausbildung Nachname_39
45044;38080;Herr;BA;Vorname_40;Nachname_40;Beraterassistent;3081;1412;150,54,52;Organisation von Beraterassistent Nachname_40
